filename,original_local_path,local_path,content_type,pages,association,font_families,bytes,sha256,source_url
maslows-hierarchy-of-needs-image-06.jpg,/assets/b6c93b430c1be7276779.jpg,/assets/images/projects/maslows-hierarchy-of-needs/maslows-hierarchy-of-needs-image-06.jpg,image/jpeg,/maslows-hierarchy-of-needs,maslows-hierarchy-of-needs,,1512749,3d5193d494b14ec0d9653caea2759c9ebd99a52795bbfd1d79a52cd8329cb124,https://static.wixstatic.com/media/430132_736d9b8e992e460bac022572abc6a0f7~mv2.jpg
maslows-hierarchy-of-needs-image-07.jpg,/assets/fa312bc336cf9adafe34.jpg,/assets/images/projects/maslows-hierarchy-of-needs/maslows-hierarchy-of-needs-image-07.jpg,image/jpeg,/maslows-hierarchy-of-needs,maslows-hierarchy-of-needs,,4867386,50d0a216c2d095fd02f07108e18100ccc001bb8aaa679f3a0e31daec6f227d25,https://static.wixstatic.com/media/430132_cd732ef5d2ff45d7aabdfbd137ecc6f9~mv2.jpg
mirage-image-01.jpg,/assets/89df87b99bf8e136eecf.jpg,/assets/images/projects/mirage/mirage-image-01.jpg,image/jpeg,/; /projects,mirage,,571290,20056a181078b891f7054c5a4f68a021f8101c0f9cc03cf48034b419d1998fb0,https://static.wixstatic.com/media/430132_fb9914717de642cbb089318813ddb304~mv2.jpg
mirage-image-02.jpg,/assets/36eb10373763741661b4.jpg,/assets/images/projects/mirage/mirage-image-02.jpg,image/jpeg,/mirage,mirage,,597663,bdb30158c6711c958dcd81d653b99044d60c0bf40980ae111a51e5febb52ddef,https://static.wixstatic.com/media/430132_69414a5e27094252ad630291e5ceeca0~mv2.jpg
mirage-image-03.jpg,/assets/ac552403e9a9d3c0d1aa.jpg,/assets/images/projects/mirage/mirage-image-03.jpg,image/jpeg,/mirage,mirage,,6386463,cb52938ac11dd047b4cedcc9d726f7fb04cc891416a824a8e21dd83f95b52f5a,https://static.wixstatic.com/media/430132_5d2a1533ede74cafa11c8997f85021f4~mv2.jpg
mirage-image-04.jpg,/assets/dbe0b4f6a98c16580db3.jpg,/assets/images/projects/mirage/mirage-image-04.jpg,image/jpeg,/mirage,mirage,,356696,389e56842dd3ca9b1c2195e491e1f2dec02437e51b443b528bd516021f925ab1,https://static.wixstatic.com/media/430132_90113fb6a103493abd0af492d74842de~mv2.jpg
peace-and-peace-image-01.jpg,/assets/b62d0a62ed1c37ffe995.jpg,/assets/images/projects/peace-and-peace/peace-and-peace-image-01.jpg,image/jpeg,/; /projects; /texts,peace-and-peace,,26669,c0bf7427b3cc7cf0c885b75f2335384ff7d4ca123458eb5f701229f82f49af06,https://static.wixstatic.com/media/430132_ab8a02cefeb54439921e1bef4df89e43~mv2.jpg
random-thoughts-image-01.jpg,/assets/2c58556e97ca870816fd.jpg,/assets/images/projects/random-thoughts/random-thoughts-image-01.jpg,image/jpeg,/random-thoughts,random-thoughts,,2405390,b7b22db348d49e6d6c1163cfa775e67ac63feda95426619a267d9cb9aed3d57a,https://static.wixstatic.com/media/430132_4fa41151c5fb4eb0b1768af45edd9622~mv2.jpg
random-thoughts-image-02.jpg,/assets/3c6c55683f5b0c2f2116.jpg,/assets/images/projects/random-thoughts/random-thoughts-image-02.jpg,image/jpeg,/random-thoughts,random-thoughts,,977081,8739c4aec7a5d77549d1bcd6e79b15da99ac205c94eb6ca4fea91f30ddbeb126,https://static.wixstatic.com/media/430132_fdcda2e08f5f4cc2ba5ead50dca05049~mv2.jpg
random-thoughts-image-03.jpg,/assets/0be6dfb8fd2f2d2b8f74.jpg,/assets/images/projects/random-thoughts/random-thoughts-image-03.jpg,image/jpeg,/random-thoughts,random-thoughts,,994317,a1b46a69d482450faa408687c124b05643d15e6b9558d109d11f47a94cae5b3a,https://static.wixstatic.com/media/430132_73a33b8fa310432a89655c13ce75da3b~mv2.jpg
random-thoughts-image-04.jpg,/assets/27166c9600650036f20f.jpg,/assets/images/projects/random-thoughts/random-thoughts-image-04.jpg,image/jpeg,/random-thoughts,random-thoughts,,863687,0e5543b986aa97d51342a817843083a7cdfafb0cfbf95de3e20e281c625a673f,https://static.wixstatic.com/media/430132_3c34301425214c92810f74c2339895dd~mv2.jpg
song-of-a-lonely-bird-a-re-creation-image-01.jpeg,/assets/8568143f43845ad8d191.jpeg,/assets/images/projects/song-of-a-lonely-bird-a-re-creation/song-of-a-lonely-bird-a-re-creation-image-01.jpeg,image/jpeg,/; /projects,song-of-a-lonely-bird-a-re-creation,,346946,e5aa8a9c89c58ea8ce05aa9b3e308864f94db5d4f76f59a6fdcce203faa6b51c,https://static.wixstatic.com/media/430132_33604598e39a412d98972e7ed592d258~mv2.jpeg
song-of-a-lonely-bird-image-01.jpg,/assets/28a8952bce3c17b1a655.jpg,/assets/images/projects/song-of-a-lonely-bird/song-of-a-lonely-bird-image-01.jpg,image/jpeg,/; /projects,song-of-a-lonely-bird,,53172,020d15d9a2746bb0c7c0288ca294ce8fc5c4ffe2f3716b7f29ace8e6ac21812c,https://static.wixstatic.com/media/430132_b37ad65c1af646afac072435a7d52311~mv2.jpg
song-of-a-lonely-bird-image-02.jpg,/assets/9af0cab7dbaeff40f55b.jpg,/assets/images/projects/song-of-a-lonely-bird/song-of-a-lonely-bird-image-02.jpg,image/jpeg,/song-of-a-lonely-bird,song-of-a-lonely-bird,,765707,e016681e6642b2ae3c8cee7cbea891a63e420c7b910095b1c2d9dd8b56247dde,https://static.wixstatic.com/media/430132_de94d50f5b5e47e4bb9f53434b6957e5~mv2.jpg
song-of-a-lonely-bird-image-03.jpg,/assets/8d2aade1dc756c5557dd.jpg,/assets/images/projects/song-of-a-lonely-bird/song-of-a-lonely-bird-image-03.jpg,image/jpeg,/song-of-a-lonely-bird,song-of-a-lonely-bird,,640987,fd550fc4bb9ab9157d8d54b04e26f58946819b5971911eb4bf2cd0df8d277aed,https://static.wixstatic.com/media/430132_23252e1e8f8444afaadbb0d458d871cb~mv2.jpg
song-of-a-lonely-bird-image-04.jpg,/assets/f4b5a4a8896c4101a947.jpg,/assets/images/projects/song-of-a-lonely-bird/song-of-a-lonely-bird-image-04.jpg,image/jpeg,/song-of-a-lonely-bird,song-of-a-lonely-bird,,350609,f79a8faa4dad1db4a82a397a775f125426281e96df452ddd0c095bdebb512879,https://static.wixstatic.com/media/430132_6ac1e5241c32400e8f5b75567094b919~mv2.jpg
song-of-a-lonely-bird-image-05.jpg,/assets/e0acc10846c7eeb3981e.jpg,/assets/images/projects/song-of-a-lonely-bird/song-of-a-lonely-bird-image-05.jpg,image/jpeg,/song-of-a-lonely-bird,song-of-a-lonely-bird,,650218,fa26e8f7cb649730fe4b878f8263f8db7f5aaad4361eeb920039c17ce2bc4e61,https://static.wixstatic.com/media/430132_5da842dacbf14bbb9b59bdb971999168~mv2.jpg
song-of-a-lonely-bird-image-06.jpg,/assets/bbceab7b4aa9d71f53fd.jpg,/assets/images/projects/song-of-a-lonely-bird/song-of-a-lonely-bird-image-06.jpg,image/jpeg,/song-of-a-lonely-bird,song-of-a-lonely-bird,,635903,5d99579c47ffeadbc75b78bdbf9fce41340a498b89b2b63e40dfc351811ec566,https://static.wixstatic.com/media/430132_bcb92ad136a14eed8ab23bca773a90c5~mv2.jpg
song-of-a-lonely-bird-image-07.jpg,/assets/4a530e07e864c7cc5ef7.jpg,/assets/images/projects/song-of-a-lonely-bird/song-of-a-lonely-bird-image-07.jpg,image/jpeg,/song-of-a-lonely-bird,song-of-a-lonely-bird,,489003,ca93ad627f1fe1a9b8c7a2c747899c26d1705cda438be85295c0ca04fbd894e2,https://static.wixstatic.com/media/430132_4db93b61d94e449f8024da5280d4fb48~mv2.jpg
song-of-a-lonely-bird-image-08.jpg,/assets/2f12cfde9f45210cd328.jpg,/assets/images/projects/song-of-a-lonely-bird/song-of-a-lonely-bird-image-08.jpg,image/jpeg,/song-of-a-lonely-bird,song-of-a-lonely-bird,,739479,8fcb81174310a9f6ca9d0bbe7daafc4538b6f8e8342b531eb325bde029775f82,https://static.wixstatic.com/media/430132_50b4398260734e2287bdbdba0ca6998f~mv2.jpg
the-clock-image-01.jpg,/assets/e6ecf1de86f9dea99768.jpg,/assets/images/projects/the-clock/the-clock-image-01.jpg,image/jpeg,/; /projects,the-clock,,1289512,54b503ffe8eb4bfcaad6ba0a13c14df7f626ad25f2a4b22aba9b9ab767da7f16,https://static.wixstatic.com/media/430132_638fc7b6d382449eb3ce1ea4cd80f205~mv2.jpg
the-clock-image-02.jpg,/assets/c5180db0d5e58ce93e7c.jpg,/assets/images/projects/the-clock/the-clock-image-02.jpg,image/jpeg,/the-clock,the-clock,,300612,f716b9b0a845a59fc90b950d4851950ebfd1a7e6da48f1bdec6cbce72d32b2cf,https://static.wixstatic.com/media/430132_d8e906299ed24cff9e9bdf4a57370a12~mv2.jpg
the-clock-image-03.jpg,/assets/1286ce5da73096256480.jpg,/assets/images/projects/the-clock/the-clock-image-03.jpg,image/jpeg,/the-clock,the-clock,,3432998,938b1c5a8eb52ed7dddcf20d21f6234fb66bec6ad94220b55422d51aed5e9164,https://static.wixstatic.com/media/430132_76bf086befac4f2fb08c4f37731c0da5~mv2.jpg
